lead_id,industry,company_size,interaction_count,email_opens,website_visits,purchase_history,conversion
200,Healthcare,Large,4,46,72,641,0
201,Manufacturing,Small,5,30,77,5533,1
202,Technology,Large,14,37,76,5193,1
203,Retail,Small,16,31,56,967,0
204,Retail,Small,18,10,24,8723,0
205,Healthcare,Small,7,44,1,5569,0
206,Technology,Medium,10,24,63,6356,0
207,Finance,Medium,7,32,34,9498,0
208,Technology,Large,1,37,6,1269,1
209,Healthcare,Small,19,40,84,930,0
210,Healthcare,Small,16,7,17,1751,0
211,Technology,Medium,19,10,66,1236,1
212,Healthcare,Small,4,21,41,2910,0
213,Technology,Medium,18,23,38,8767,1
214,Manufacturing,Small,2,40,40,9618,0
215,Technology,Large,1,16,74,1119,0
216,Technology,Small,15,11,23,5337,0
217,Healthcare,Small,5,45,59,1383,0
218,Healthcare,Medium,11,31,45,759,1
219,Retail,Small,10,14,18,2110,0
220,Retail,Small,2,15,67,8690,1
221,Manufacturing,Medium,3,21,89,1833,0
222,Retail,Large,12,27,41,2225,0
223,Technology,Large,5,19,31,2271,0
224,Healthcare,Medium,5,32,38,8366,0
225,Retail,Medium,6,9,35,3571,1
226,Retail,Medium,9,39,96,9128,0
227,Manufacturing,Medium,2,31,35,5724,0
228,Manufacturing,Medium,12,49,2,,0
229,Technology,Large,3,32,72,8429,0
230,Healthcare,Large,12,1,7,,0
231,Manufacturing,Medium,17,32,96,5168,0
232,Retail,Small,10,32,69,6497,1
233,Healthcare,Medium,14,40,40,2857,0
234,Healthcare,Small,17,12,67,4020,0
235,Retail,Medium,18,29,12,8286,0
236,Manufacturing,Medium,19,,48,2000,0
237,Retail,Large,17,12,59,2710,1
238,Healthcare,Small,14,25,1,7000,0
239,Finance,Small,9,21,59,1549,0
240,Finance,Large,8,38,4,8838,0
241,Technology,Large,2,1,43,5117,0
242,Retail,Large,13,37,26,8099,0
243,Retail,Large,7,38,31,6152,1
244,Technology,Small,9,25,20,2196,1
245,Technology,Small,11,45,7,8995,1
246,Technology,Medium,14,49,71,6504,0
247,Healthcare,Medium,4,14,49,9917,0
248,Retail,Large,13,33,66,3431,0
249,Healthcare,Large,2,41,43,7562,0
250,Technology,Large,5,43,57,5205,1
251,Retail,Medium,11,48,2,3078,0
252,Healthcare,Medium,6,39,85,2939,1
253,Healthcare,Medium,18,10,69,3484,1
254,Technology,Medium,10,2,1,785,0
255,Retail,Medium,4,5,86,7631,0
256,Technology,Medium,9,8,43,4383,0
257,Retail,Medium,6,5,1,,0
258,Finance,Large,2,8,80,7810,1
259,Manufacturing,Large,17,38,34,1719,0
260,Manufacturing,Large,5,30,97,6968,0
261,Manufacturing,Large,6,31,86,1531,0
262,Technology,Medium,12,,29,9167,1
263,Finance,Small,10,49,7,4813,0
264,Retail,Medium,6,11,21,9657,1
265,Healthcare,Small,8,7,43,9535,0
266,Retail,Large,2,7,57,5098,1
267,Healthcare,Medium,12,49,35,262,1
268,Retail,Large,13,27,68,2074,0
269,Finance,Medium,7,19,76,3391,0
270,Healthcare,Large,10,46,92,8561,1
271,Technology,Small,13,,30,731,0
272,Retail,Small,17,10,46,1005,1
273,Retail,Small,14,19,54,2114,0
274,Healthcare,Medium,2,15,79,9933,1
275,Technology,Small,11,3,61,7996,1
276,Technology,Medium,1,5,,304,1
277,Finance,Small,19,21,54,681,0
278,Technology,Small,4,25,15,5775,0
279,Technology,Medium,19,,,9132,0
280,Technology,Medium,11,40,16,5447,0
281,Manufacturing,Small,8,,15,2743,0
282,Finance,Medium,11,13,11,8117,0
283,Retail,Small,4,10,7,2397,1
284,Healthcare,Medium,17,17,83,974,0
285,Retail,Large,7,11,2,5660,0
286,Finance,Large,8,22,15,,0
287,Healthcare,Large,3,11,29,4100,0
288,Finance,Large,2,12,22,9714,0
289,Technology,Large,15,24,91,,1
290,Healthcare,Small,5,44,4,8027,1
291,Technology,Large,1,18,83,1271,0
292,Retail,Large,4,45,64,5691,0
293,Retail,Large,15,35,29,9235,1
294,Healthcare,Large,19,44,20,6442,0
295,Healthcare,Medium,3,7,83,1549,0
296,Finance,Small,11,28,69,2639,0
297,Finance,Large,17,31,21,4059,0
298,Technology,Large,13,43,81,6385,0
299,Healthcare,Large,11,17,71,5532,0
300,Retail,Small,2,5,31,4360,0
301,Finance,Medium,9,17,32,2461,1
302,Finance,Small,2,18,15,6264,0
303,Retail,Medium,9,21,75,3770,1
304,Finance,Large,9,36,37,1853,1
305,Technology,Large,8,31,97,8200,0
306,Healthcare,Small,17,40,13,2038,0
307,Retail,Small,1,2,,8662,0
308,Healthcare,Medium,11,27,96,6076,0
309,Finance,Medium,8,9,22,6688,1
310,Finance,Small,10,34,65,8716,0
311,Retail,Medium,7,28,84,6404,1
312,Technology,Small,3,14,1,7445,0
313,Manufacturing,Medium,3,32,90,7975,0
314,Retail,Small,18,6,72,9186,0
315,Manufacturing,Small,5,11,,,0
316,Manufacturing,Small,12,48,74,697,0
317,Technology,Medium,12,29,66,3162,0
318,Manufacturing,Medium,19,20,51,2436,0
319,Manufacturing,Medium,6,30,61,9979,0
320,Technology,Small,2,23,22,672,1
321,Manufacturing,Medium,12,19,25,7621,0
322,Manufacturing,Medium,19,36,67,6271,1
323,Manufacturing,Small,5,3,81,7197,1
324,Retail,Large,12,27,54,2190,1
325,Retail,Small,17,43,5,6666,0
326,Retail,Medium,17,19,34,4724,1
327,Technology,Small,10,23,21,1733,0
328,Finance,Large,17,49,42,1617,0
329,Manufacturing,Small,15,48,14,3748,0
330,Manufacturing,Medium,12,,85,1637,1
331,Technology,Large,16,40,59,3237,0
332,Manufacturing,Medium,19,35,11,7085,1
333,Retail,Large,8,33,48,197,0
334,Finance,Large,17,35,41,3850,1
335,Healthcare,Small,5,1,37,8635,1
336,Manufacturing,Small,16,14,81,8274,0
337,Retail,Medium,6,33,44,8203,1
338,Healthcare,Small,8,35,34,5513,0
339,Finance,Small,18,5,29,4766,0
340,Healthcare,Large,12,38,,710,0
341,Retail,Small,15,41,29,1827,0
342,Healthcare,Large,9,11,77,1954,0
343,Technology,Large,13,,5,5155,0
344,Healthcare,Large,15,44,66,2424,0
345,Manufacturing,Medium,10,17,79,,1
346,Manufacturing,Medium,16,39,,9383,1
347,Technology,Medium,7,20,51,,1
348,Retail,Large,17,14,13,6619,1
349,Manufacturing,Medium,7,32,72,1849,1
350,Finance,Medium,14,34,14,881,0
351,Manufacturing,Small,15,25,20,7648,0
352,Manufacturing,Medium,7,7,34,6923,1
353,Retail,Medium,9,35,65,2205,0
354,Healthcare,Large,19,47,90,3967,0
355,Manufacturing,Large,16,29,1,7293,0
356,Technology,Large,8,22,34,5076,0
357,Healthcare,Large,18,41,81,2213,0
358,Finance,Large,18,43,77,5979,0
359,Retail,Large,7,13,19,4070,0
360,Finance,Medium,3,13,81,9359,0
361,Healthcare,Large,18,1,9,7364,0
362,Healthcare,Large,10,36,24,1677,0
363,Healthcare,Small,7,4,65,9303,1
364,Finance,Medium,17,37,24,2374,0
365,Healthcare,Medium,14,44,53,4969,0
366,Finance,Medium,3,40,32,6844,1
367,Healthcare,Large,12,46,35,2526,0
368,Technology,Large,13,13,94,5646,0
369,Healthcare,Large,2,38,13,6952,0
370,Finance,Small,3,24,64,2651,1
371,Manufacturing,Large,5,19,79,6511,0
372,Healthcare,Small,11,1,53,107,0
373,Manufacturing,Medium,8,38,51,8187,1
374,Technology,Large,12,5,2,2655,0
375,Retail,Small,7,16,98,575,0
376,Technology,Small,15,24,40,5516,0
377,Healthcare,Large,17,27,5,8776,0
378,Manufacturing,Medium,4,1,24,7339,0
379,Manufacturing,Medium,13,34,12,6810,0
380,Finance,Medium,18,36,97,5100,1
381,Manufacturing,Small,1,4,7,4754,0
382,Finance,Small,16,0,20,8178,0
383,Retail,Small,13,39,97,6163,0
384,Healthcare,Small,10,11,67,2385,0
385,Finance,Medium,12,35,24,5323,0
386,Retail,Large,2,44,78,7071,1
387,Manufacturing,Small,3,22,67,3625,0
388,Manufacturing,Small,10,46,44,2922,1
389,Retail,Medium,2,30,59,5043,1
390,Manufacturing,Large,13,10,11,6630,0
391,Retail,Large,13,9,31,358,1
392,Finance,Medium,18,2,95,382,0
393,Finance,Medium,3,13,91,1998,0
394,Retail,Large,7,15,12,4235,0
395,Finance,Small,14,9,30,6729,0
396,Finance,Large,17,28,77,3300,0
397,Finance,Medium,12,9,19,5210,0
398,Technology,Small,16,11,17,7267,0
399,Healthcare,Small,12,29,92,712,0
400,Manufacturing,Medium,15,40,59,,0
401,Technology,Medium,10,0,62,3790,1
402,Finance,Medium,7,4,5,8904,1
403,Retail,Large,5,19,31,2407,0
404,Finance,Large,1,7,92,7233,0
405,Healthcare,Small,17,42,42,6609,1
406,Finance,Medium,3,11,1,6006,1
407,Retail,Small,13,0,,2691,1
408,Healthcare,Small,14,19,22,7283,0
409,Finance,Small,18,27,82,,0
410,Healthcare,Small,4,42,30,8866,0
411,Manufacturing,Medium,18,36,4,,0
412,Manufacturing,Small,5,46,82,3704,1
413,Finance,Medium,16,36,33,769,1
414,Healthcare,Medium,1,11,9,4464,0
415,Retail,Large,14,36,88,7429,1
416,Finance,Medium,15,48,1,1383,0
417,Manufacturing,Large,9,48,10,1023,0
418,Manufacturing,Medium,15,43,49,1225,0
419,Finance,Medium,17,27,30,1629,1
420,Healthcare,Medium,4,46,55,,0
421,Manufacturing,Large,12,14,78,8538,1
422,Healthcare,Large,5,5,72,3811,1
423,Manufacturing,Small,5,43,86,8104,0
424,Manufacturing,Large,11,,82,9852,0
425,Technology,Large,6,49,8,6374,1
426,Manufacturing,Large,7,13,,3964,0
427,Retail,Large,14,1,20,7933,1
428,Finance,Small,11,8,72,,1
429,Finance,Large,13,36,27,326,0
430,Healthcare,Medium,2,19,,364,0
431,Manufacturing,Medium,7,25,6,9687,1
432,Retail,Large,4,28,79,745,0
433,Healthcare,Large,8,0,15,7644,0
434,Technology,Medium,19,34,96,5669,0
435,Healthcare,Medium,13,5,3,,0
436,Healthcare,Small,14,36,3,,1
437,Manufacturing,Medium,10,4,39,9446,1
438,Technology,Medium,11,32,16,687,0
439,Healthcare,Large,2,48,51,9277,0
440,Retail,Medium,9,13,92,4179,0
441,Retail,Small,17,11,51,3448,1
442,Finance,Medium,3,41,35,6399,0
443,Technology,Large,6,,37,3931,0
444,Technology,Large,5,49,49,9533,0
445,Finance,Medium,5,23,62,8481,0
446,Healthcare,Large,15,42,62,9272,1
447,Technology,Small,17,33,61,9990,0
448,Retail,Small,9,24,98,1815,0
449,Retail,Medium,3,49,6,6550,0
450,Manufacturing,Medium,17,28,26,5533,1
451,Technology,Medium,10,38,91,1198,0
452,Healthcare,Large,3,30,85,7196,0
453,Finance,Small,18,,13,2426,0
454,Finance,Small,18,42,70,9187,1
455,Healthcare,Large,17,49,85,6516,0
456,Manufacturing,Small,3,22,4,7080,0
457,Finance,Medium,3,43,54,6863,0
458,Technology,Medium,6,37,1,1774,1
459,Manufacturing,Medium,13,19,61,8050,0
460,Technology,Small,15,22,90,9222,1
461,Retail,Medium,9,44,20,9015,0
462,Manufacturing,Large,4,15,78,6149,0
463,Finance,Large,14,49,,1189,0
464,Manufacturing,Small,5,41,9,4678,1
465,Manufacturing,Large,2,7,86,9227,0
466,Manufacturing,Large,11,49,57,255,1
467,Manufacturing,Small,9,20,38,9362,1
468,Technology,Medium,3,0,4,2058,0
469,Retail,Medium,9,7,64,6444,1
470,Healthcare,Medium,3,28,12,5879,1
471,Manufacturing,Small,2,31,,6244,0
472,Finance,Large,12,37,89,5163,0
473,Manufacturing,Medium,10,,84,3930,1
474,Finance,Medium,9,46,52,9146,0
475,Technology,Small,15,21,81,8931,1
476,Finance,Medium,8,46,,9894,1
477,Healthcare,Small,5,33,31,6759,0
478,Retail,Large,11,0,35,541,0
479,Finance,Small,2,25,80,6140,0
480,Finance,Small,15,42,98,6025,0
481,Retail,Small,6,9,59,7458,0
482,Healthcare,Small,8,29,10,4728,0
483,Manufacturing,Large,5,49,62,,0
484,Finance,Large,16,17,20,9628,1
485,Retail,Medium,18,,51,1048,1
486,Technology,Large,6,25,54,8279,0
487,Retail,Large,5,7,25,6215,0
488,Technology,Medium,16,46,67,559,0
489,Healthcare,Large,13,39,33,7668,0
490,Manufacturing,Small,5,48,,4746,1
491,Retail,Small,13,11,81,492,1
492,Finance,Medium,17,26,98,1887,1
493,Healthcare,Medium,18,7,92,7474,1
494,Retail,Medium,8,24,51,,0
495,Finance,Small,13,45,28,4841,1
496,Retail,Large,19,3,37,7518,0
497,Technology,Small,3,32,41,6462,1
498,Retail,Medium,8,0,20,2554,0
499,Retail,Large,2,18,41,9758,1
500,Retail,Large,8,30,12,3774,1
